CivilitÈ;Prenom;Nom;Societe;Site;Departement;Service;fonction;Manager-Prenom;Manager-Nom;Nom de PC;Marque PC;Date de naissance;Telephone fixe;Telephone portable;
M.;Alban;Dumas;BillU;Paris;Communication et Relations publiques;Relation MÈdias;RÈdacteur;Aurelien;Brunet;PA78671;HP;02/12/1987;0197796902;0615034263;
M.;Aurelien;Brunet;BillU;Paris;Communication et Relations publiques;Relation MÈdias;Responsable relation mÈdia;NoÈmie;Leloir;PA68867;DELL;12/03/1985;0114409115;0778858220;
M.;Corentin;Arnaud;BillU;Paris;Communication et Relations publiques;Communication interne;Community manager;Gaelle;Colin;PA11094;DELL;01/01/1991;0148522008;0710630503;
M.;Damien;Calouhouet;I-magyne;Paris;Communication et Relations publiques;Relation MÈdias;Monteur;Aurelien;Brunet;-;-;-;-;0612558490;
M.;Diego;Aubert;BillU;Paris;Communication et Relations publiques;Communication interne;Community manager;Gaelle;Colin;PA19149;DELL;14/05/1989;0198004015;0736672209;
Mme;Elsa;Tashi;BillU;Paris;Communication et Relations publiques;Relation MÈdias;RÈdacteur;Aurelien;Brunet;PA10326;DELL;08/12/1996;0199523757;0759440381;
M.;Erwan;Faure;BillU;Paris;Communication et Relations publiques;Communication interne;ChargÈ de communication;Gaelle;Colin;PA10218;;17/06/1993;0127364911;0707561174;
Mme;Felianne;Fernandez;BillU;Paris;Communication et Relations publiques;Relation MÈdias;RÈdacteur;Aurelien;Brunet;PA92969;DELL;17/11/1992;0122223912;0655605121;
M.;Felix;Jean;Studio Dlight;Nantes;Communication et Relations publiques;Relation MÈdias;Monteur;Aurelien;Brunet;-;-;-;-;0684213048;
Mme;Gaelle;Colin;BillU;Paris;Communication et Relations publiques;Communication interne;Responsable communication;NoÈmie;Leloir;PA23669;DELL;23/06/1999;0146389837;0625101497;
M.;Gaetan;Roussel;BillU;Paris;Communication et Relations publiques;Gestion des marques;Webmaster;Gaelle;Colin;PA74884;DELL;27/10/1994;0181708327;0622836246;
Mme;Ines;Henry;BillU;Paris;Communication et Relations publiques;Gestion des marques;Webmaster;Gaelle;Colin;PA39469;DELL;05/01/2000;0138585445;0685150170;
Mme;Laurence;Guerin;BillU;Paris;Communication et Relations publiques;Gestion des marques;Designer graphique;Gaelle;Colin;PA63117;DELL;20/07/1990;0114806301;0642681764;
M.;Loic;Blanc;BillU;Paris;Communication et Relations publiques;Communication interne;ChargÈ en droit de la communication;Gaelle;Colin;PA88356;DELL;03/11/1982;0160352162;0747070420;
M.;Lukas;Rousseau;BillU;Paris;Communication et Relations publiques;Gestion des marques;photographe;Gaelle;Colin;PA74987;DELL;19/04/1993;0199526389;0742450021;
M.;Mathias;Muller;BillU;Paris;Communication et Relations publiques;Gestion des marques;Community manager;Gaelle;Colin;PA63498;DELL;08/12/2000;0112691924;0695993512;
Mme;NoÈmie;Leloir;BillU;Paris;Communication et Relations publiques;;Directrice Communication et Relations publiques;Camille;Martin;PA68385;DELL;14/11/1994;0165300831;0628752957;
M.;Ravi;Martin;BillU;Paris;Communication et Relations publiques;Relation MÈdias;RÈdacteur;Aurelien;Brunet;PA44820;DELL;27/04/2000;0158410241;0685102390;
Mme;RÈgina;IllaconnesÈ;BillU;Paris;Communication et Relations publiques;Relation MÈdias;ChargÈe relation presse;Aurelien;Brunet;PA99009;DELL;16/11/1994;0155106945;0643567057;
Mme;Salma;Singh;BillU;Paris;Communication et Relations publiques;Relation MÈdias;RÈdacteur;Aurelien;Brunet;PA58693;DELL;18/03/1995;0112550362;0763025412;
Mme;Sophia;KusmÈrowic;BillU;Paris;Communication et Relations publiques;Relation MÈdias;ChargÈe relation presse;Aurelien;Brunet;PA76764;DELL;10/08/1988;0134259365;0732836175;
Mme;Amina;Diallo;BillU;Paris;DÈpartement Juridique;Droit des sociÈtÈs;Juriste;Fauve;HÙlth;PA52039;;;;-;
M.;Diego;Fernandez;BillU;Paris;DÈpartement Juridique;Protection des donnÈes et conformitÈ;Juriste;Fauve;HÙlth;PA99523;DELL;19/03/1987;0132005698;-;
Mme;Fatou;Ba;BillU;Paris;DÈpartement Juridique;Protection des donnÈes et conformitÈ;Juriste;Fauve;HÙlth;PA46325;LENOVO;13/03/1984;0136923365;-;
Mme;Faustine;Denis;BillU;Paris;DÈpartement Juridique;PropriÈtÈ intellectuelle;Juriste;Fauve;HÙlth;PA51856;HP;15/03/1983;0102226399;-;
Mme;Fauve;HÙlth;BillU;Paris;DÈpartement Juridique;;Directeur juridique;Camille;Martin;PA87056;LENOVO;08/01/1988;0169521011;0757881221;
Mme;HÈlËne;Cault;BillU;Paris;DÈpartement Juridique;PropriÈtÈ intellectuelle;Juriste;Fauve;HÙlth;PA26363;LENOVO;30/06/1985;0155916179;-;
Mme;IrËne;Idr-Bongo;Livingston & AssociÈs;Paris;DÈpartement Juridique;Droit des sociÈtÈs;Avocat;Fauve;HÙlth;-;-;-;0142995102;-;
M.;JÈrÈmie;Allert;Livingston & AssociÈs;Paris;DÈpartement Juridique;Droit des sociÈtÈs;Juriste;Fauve;HÙlth;-;-;-;0123954236;-;
M.;Kenji;Tanaka;BillU;Paris;DÈpartement Juridique;PropriÈtÈ intellectuelle;Juriste;Fauve;HÙlth;PA05632;HP;17/10/2001;0187436250;-;
M.;Luca;Rossi;BillU;Paris;DÈpartement Juridique;Droit des sociÈtÈs;Juriste;Fauve;HÙlth;PA04236;;;;-;
Mme;Nadia;Culc˘u;Livingston & AssociÈs;Paris;DÈpartement Juridique;Droit des sociÈtÈs;Juriste;Fauve;HÙlth;-;-;-;0168235541;-;
M.;Remi;Advezekt;BillU;Paris;DÈpartement Juridique;Protection des donnÈes et conformitÈ;Juriste;Fauve;HÙlth;PA12540;LENOVO;28/05/1997;0488168544;-;
M.;Robin;Bourgeois;BillU;Paris;DÈpartement Juridique;Protection des donnÈes et conformitÈ;Juriste;Fauve;HÙlth;PA33490;HP;17/07/1997;0130797419;-;
M.;Serge;Kalfandier;Livingston & AssociÈs;Paris;DÈpartement Juridique;Droit des sociÈtÈs;Avocat;Fauve;HÙlth;-;-;-;0187569924;-;
M.;Yann;Boyer;BillU;Paris;DÈpartement Juridique;Protection des donnÈes et conformitÈ;Juriste;Fauve;HÙlth;PA48690;LENOVO;30/03/1992;0198705216;-;
Mme;Yara;Haddad;BillU;Paris;DÈpartement Juridique;PropriÈtÈ intellectuelle;Juriste;Fauve;HÙlth;PA74362;HP;04/06/1982;0122369523;-;
M.;Adam;Thomas;BillU;Paris;DÈveloppement logiciel;analyse et conception;DÈveloppeur;Wilfried;JosÈ;PA43813;TOSHIBA;03/03/1993;-;-;
Mme;Charlotte;Giroux;BillU;Paris;DÈveloppement logiciel;analyse et conception;DÈveloppeur;Wilfried;JosÈ;PA99876;LENOVO;14/12/1998;-;-;
M.;Felix;Hoffmann;BillU;Paris;DÈveloppement logiciel;analyse et conception;DÈveloppeur;Wilfried;JosÈ;PA41987;HP;26/08/1987;-;-;
M.;Florent;Houssay;BillU;Paris;DÈveloppement logiciel;analyse et conception;DÈveloppeur;Wilfried;JosÈ;PA90613;HP;12/10/1993;-;-;
M.;JÈremy;Martelant;BillU;Paris;DÈveloppement logiciel;analyse et conception;DÈveloppeur;Wilfried;JosÈ;PA23575;LENOVO;30/06/1989;-;-;
M.;Luca;Duval;BillU;Paris;DÈveloppement logiciel;analyse et conception;DÈveloppeur;Wilfried;JosÈ;PA18845;LENOVO;25/09/1987;-;-;
Mme;NadËge;Rouiller;BillU;Paris;DÈveloppement logiciel;analyse et conception;DÈveloppeur;Wilfried;JosÈ;PA36514;LENOVO;05/12/1983;-;-;
M.;Oscar;Gautier;BillU;Paris;DÈveloppement logiciel;analyse et conception;DÈveloppeur;Wilfried;JosÈ;PA72016;HP;15/06/1990;-;-;
M.;Sacha;Sacha-David;BillU;Paris;DÈveloppement logiciel;analyse et conception;DÈveloppeur;Wilfried;JosÈ;PA31686;HP;13/08/1991;-;-;
Mme;StÈphanie;Le Kerbriault;BillU;Paris;DÈveloppement logiciel;analyse et conception;DÈveloppeur;Wilfried;JosÈ;PA42543;TOSHIBA;17/03/1983;-;-;
M.;Wilfried;JosÈ;BillU;Paris;DÈveloppement logiciel;analyse et conception;Responsable analyse et conception;Sofia;Rossi;PA14433;LENOVO;29/06/1987;0188064257;0773629374;
M.;William;Lemaire;BillU;Paris;DÈveloppement logiciel;analyse et conception;DÈveloppeur;Wilfried;JosÈ;PA45623;LENOVO;10/08/1998;-;-;
M.;Aarav;Gupta;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA24630;HP;30/06/1994;-;-;
M.;Abdou;Selim;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA48935;HP;17/06/1995;-;-;
Mme;Amara;Papadopoulos;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA48934;LENOVO;03/03/1979;-;-;
Mme;AmÈlie;Blanchet;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA21577;TOSHIBA;08/08/2001;-;-;
Mme;AmÈlie;Fournier;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA60728;DELL;22/07/1987;-;-;
Mme;Amira;El-Mahdi;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA55201;TOSHIBA;29/07/1996;-;-;
Mme;Anya;Yamada;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA48940;HP;05/05/1993;-;-;
M.;Arjun;Patel;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA40065;DELL;03/06/2001;-;-;
Mme;AurÈlie;Yosef;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA23575;DELL;23/08/1990;-;-;
Mme;Aya;Benali;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA77535;DELL;29/10/1987;-;-;
M.;Benjamin;Schmitt;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA33002;DELL;10/01/1986;-;-;
Mme;Carla;Pelcaut;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA77321;DELL;07/12/1988;-;-;
Mme;ChloÈ;Recteur;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA69037;HP;01/06/1993;-;-;
Mme;Clara;Garcia;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA48530;LENOVO;25/12/1993;-;-;
M.;David;Vidal;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA59874;TOSHIBA;16/12/1985;-;-;
M.;Dmitri;Ivanov;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA75404;DELL;13/09/1996;-;-;
Mme;Elena;Romero;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA48936;HP;29/10/1988;-;-;
M.;Emilien;Gerot;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA51163;LENOVO;31/07/1999;-;-;
Mme;Emma;Leclerc;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA19161;LENOVO;06/09/1986;-;-;
Mme;Emmanuelle;Le Doux;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA95467;DELL;31/10/1982;-;-;
M.;Eshan;Khan;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA34827;TOSHIBA;30/01/1994;-;-;
M.;Etienne;Legrand;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA86254;HP;02/03/2000;-;-;
M.;Fabio;Romano;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA90927;HP;13/08/1995;-;-;
Mme;Fergie;Lork;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA79446;TOSHIBA;26/07/1996;-;-;
M.;Florian;Rellay;BillU;Paris;DÈveloppement logiciel;DÈveloppement;Responsable developpement;Sofia;Rossi;PA33002;TOSHIBA;17/05/1991;0126036632;0749534624;
M.;Giovanni;Moretti;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA45337;TOSHIBA;16/01/1995;-;-;
Mme;Giulia;Belhaj;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA48945;HP;19/05/1987;-;-;
M.;Guillaume;Pierre;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA74884;DELL;04/09/2001;-;-;
Mme;Hamza;Amari;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA10427;;28/10/1993;-;-;
M.;Hao;Wang;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA70346;DELL;19/07/1984;-;-;
M.;Henri;Lambert;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA85194;HP;06/08/1997;-;-;
M.;Hiroshi;Sow;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA48941;LENOVO;11/02/2001;-;-;
M.;Ibrahim;Mansouri;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA48948;HP;08/06/1996;-;-;
Mme;Ines;Dupont;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA62916;LENOVO;10/10/1997;-;-;
Mme;Jaxon;Dicker Brown;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA78780;DELL;04/02/1995;-;-;
M.;Jean;Rolland;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA43813;DELL;16/03/1997;-;-;
M.;Jin;Diop;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA48933;HP;25/11/1991;-;-;
Mme;Julia;Schneider;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA43252;DELL;02/09/1997;-;-;
M.;Kaito;Takahashi;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA92121;LENOVO;04/12/1996;-;-;
M.;Kevin;Dumont;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA32275;DELL;27/10/1986;-;-;
M.;Killian;Masson;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA34551;LENOVO;06/10/2000;-;-;
M.;Klaus;Becker;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA52587;LENOVO;18/07/2000;-;-;
Mme;Lina;M¸ller;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA25185;DELL;02/10/1992;-;-;
M.;Luc;Martin;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA94045;TOSHIBA;23/06/1995;-;-;
Mme;Lucia;Kimura;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA48938;LENOVO;14/04/1990;-;-;
